solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,pos,__chunk__
1636148068921376768,Gaia DR3 4049114675190545024,4049114675190545024,458712925,2016.0,271.73707303968104,1.3110597,-31.328461197465884,0.92619985,,,,,,,,,0.4345327,,,,,,,,,,62,0,61,1,0.8541639,64.79719,1.1980261,0.76891875,3,False,,,,,,,,,7,5,4.2916512,8,5,0,0.23229001,11.197962,11,50,,0.056741558,0.42086446,0.4426668,0.3817226,46.45563,7.0628285,-56.560684,44.71587,False,62,272.48781584434715,2.896336,94.08018,19.598999,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.24190667476420838,-5.188540490924195,271.4979739620962,-7.89821253754381,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74270662427475 , -0.546784797479065)",1
1636148068921376768,Gaia DR3 4049114675190545152,4049114675190545152,198334109,2016.0,271.7368933153396,1.0258569,-31.339125814043367,0.6521475,,,,,,,,,0.45975435,,,,,,,,,,81,0,81,0,0.7398995,84.77287,0.89642704,0.41528893,3,False,,,,,,,,,9,6,1.9508241,10,5,0,0.18761465,2.2836964,0,0,,0.18176135,0.47276905,0.31955883,0.6215571,-152.88948,-20.931978,-57.15788,-40.137775,False,80,226.45686500409204,1.7150204,132.04324,19.799904,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.232442600993454,-5.193532698252365,271.49768792482615,-7.908874495259636,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74270348749325 , -0.546970930151805)",1
1636148068921376768,Gaia DR3 4049114713697855872,4049114713697855872,52604368,2016.0,271.7627828890131,4.789996,-31.336437198943376,5.516564,,,,,,,,,-0.90562534,,,,,,,,,,54,0,53,1,2.0186453,69.76073,1.6037349,1.337044,3,False,,,,,,,,,6,4,588.66077,6,5,1,0.08536752,108.10972,0,83,,0.28825915,0.671133,0.28291762,0.3986704,-156.55917,-10.214845,-24.691559,-27.9302,False,53,256.2536461302788,2.0887456,122.68304,19.665691,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.24548209096394097,-5.2116315913542826,271.5200445210741,-7.906457252829887,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74315534579579 , -0.546924004965991)",1
1636148068921376768,Gaia DR3 4049114782420095232,4049114782420095232,207905678,2016.0,271.75502663845265,2.8920128,-31.321683825235286,2.4696796,,,,,,,,,0.37514874,,,,,,,,,,44,0,43,1,0.59152913,42.669342,2.256973,1.0056463,3,False,,,,,,,,,5,4,576.49634,5,3,0,0.075986475,162.91147,0,0,,0.4218122,0.6388466,0.5289592,0.81575847,115.222206,-24.776642,28.404179,-32.084324,False,43,204.79543048528004,2.8077178,72.94018,19.909067,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.25527652232949133,-5.198731358430191,271.513539809635,-7.891623333419635,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.7430199736859 , -0.546666510019008)",1
1636148068921376768,Gaia DR3 4049114782437409408,4049114782437409408,1168765024,2016.0,271.7547037078565,3.9134483,-31.319773649542643,1.4599316,,,,,,,,,-0.33382633,,,,,,,,,,63,0,63,0,7.402872,178.43292,4.1839046,10.811962,3,False,,,,,,,,,7,6,13.274021,8,8,0,0.4479749,104.20989,28,25,,0.8302639,0.3940176,0.1842505,0.58779407,-173.5926,9.280994,-7.9286933,-44.19609,False,54,244.91454217934594,3.1950352,76.654724,19.71483,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.25682539817299666,-5.197571379403532,271.51328503910617,-7.889709909573777,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74301433748374 , -0.54663317116388)",1
1636148068921376768,Gaia DR3 4049114782437409536,4049114782437409536,241877949,2016.0,271.7548534858452,41.153122,-31.3196689353046,37.28685,,,,,,,,,0.9978234,,,,,,,,,,44,0,44,0,1.0214176,47.964973,1.2146025,0.88326144,3,False,,,,,,,,,5,3,631.51044,6,6,0,0.7969731,154.3942,0,66,,0.38626397,0.49468252,0.6362969,0.5722751,-129.00214,-22.620226,-45.09168,35.376976,False,45,308.66463396953066,17.02453,18.13058,19.46365,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.2569793544154893,-5.197633257240373,271.5134155044073,-7.889606776707268,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74301695160279 , -0.546631343555652)",1
1636148068921376768,Gaia DR3 4049114812626092928,4049114812626092928,262792455,2016.0,271.7642088492181,1.2037636,-31.311816437464866,1.4698585,,,,,,,,,0.6768017,,,,,,,,,,72,0,71,1,0.21723707,67.846146,0.71116567,0.28534687,3,False,,,,,,,,,8,6,5.374365,8,5,0,0.19202685,0.059760697,0,12,,0.53235495,0.44183758,0.42173454,0.4332927,-148.01733,-3.1912715,-37.627975,44.68632,False,70,216.94129168269052,1.8692505,116.0579,19.846512,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.26775095946704575,-5.200868393151924,271.5215813773177,-7.881853425492349,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74318023349637 , -0.546494291613843)",1
1636148068921376768,Gaia DR3 4049114812626093056,4049114812626093056,829489082,2016.0,271.76361950792835,2.2341735,-31.314124841977996,1.8335365,,,,,,,,,-0.96212363,,,,,,,,,,88,0,88,0,0.14566752,84.21602,0.0,0.0,3,False,,,,,,,,,10,8,5.3214626,11,5,1,0.048637345,101.06546,8,27,,0.08845249,0.4973815,0.27925536,0.6577977,-118.52519,27.101976,-43.323353,43.03739,False,87,351.4136443058274,2.2880063,153.58946,19.32282,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.26547524373656756,-5.201536165884071,271.52104430787637,-7.8841554299041965,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74316994755044 , -0.546534580873065)",1
1636148068921376768,Gaia DR3 4049114812626097152,4049114812626097152,600253525,2016.0,271.76309877864946,2.6091056,-31.314980177079324,1.3720198,,,,,,,,,0.6724775,,,,,,,,,,72,0,71,1,0.18503885,67.47005,0.0,0.0,3,False,,,,,,,,,8,7,6.785376,8,4,0,0.10504663,173.7992,0,0,,0.34510374,0.5044898,0.35840556,0.70473725,-97.75191,-27.518843,-36.57676,-40.170002,False,71,216.05879509721035,2.0267148,106.60542,19.850937,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.26450737358089277,-5.201557069266521,271.52058455300687,-7.885005202337681,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74316085911001 , -0.546549509286791)",1
1636148068921376768,Gaia DR3 4049114812626109568,4049114812626109568,143692279,2016.0,271.7604609257402,1.5661385,-31.318018428351508,1.2771322,,,,,,,,,0.6142463,,,,,,,,,,71,0,71,0,12.113819,323.99948,4.563306,14.522304,3,False,,,,,,,,,8,6,3.6763713,8,2,1,0.11766707,19.056995,26,0,,0.18166505,0.56268066,0.25604573,0.6527731,-23.228422,-30.079,-44.064613,-41.562805,False,70,251.36969765769098,3.6908455,68.10626,19.686584,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.2607444811210947,-5.201040901388353,271.51827179759084,-7.888015399498949,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,"(4.74311481989156 , -0.546602536774994)",1
