family,method,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
Functional linear,Functional linear SVM,0.8641060290768268,0.028265120550131178,0.9151930463418699,0.0205470899745293,0.8297361647361647,0.03278260770595734,0.7914968192719428,0.03887859510843903,0.9454581755391166,0.012555776062610664,0.9225222024866785,0.012425052482493378,0.8095598598426605,0.028574347423275328,0.7751943402752813,0.03607930485293746,0.1464321608040201,0.02007510445456041
Functional linear,Functional logistic regression (L1),0.8535279100765925,0.030216984533600624,0.9111702057560572,0.019936767854703323,0.831534749034749,0.030596439543494548,0.7604051233598578,0.05253934823938146,0.9340739359927791,0.018633593226600124,0.9137477797513321,0.016346860509371116,0.7933608270555006,0.0341098041041063,0.7656086850275281,0.03649433124484168,0.44140703517587937,0.04857590792241737
Functional linear,Functional logistic regression (L2),0.8619768328683325,0.02878531574854347,0.9141103705249507,0.02014811682588564,0.8306402831402832,0.03268398612704161,0.7833328600318628,0.03689031245405089,0.9427988933147577,0.01174424591080363,0.9205683836589698,0.012462047979559443,0.8058199573913771,0.02901483580811053,0.7734391764550409,0.036896691480250626,0.408643216080402,0.03320030652185415
