source,family,method,representation,tuning,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std
04 rerun,Distance-based functional,centroid + correlation,L2-normalised sampled spectra,class centroids,0.3727175769936261,0.04444061027970177,0.677382422395373,0.031217700959840597,0.7093339768339768,0.04640606126430227,0.2779792367366487,0.01645966652471478,0.542850793713086,0.04161185553887379,0.5758436944937833,0.029475685772071433,0.39891170288223526,0.019378794584588303,0.2521847705470628,0.04245047287731296
04 rerun,Distance-based functional,centroid + cosine,L2-normalised sampled spectra,class centroids,0.5393035292905752,0.043800514279601625,0.7770231830441198,0.025532246761883686,0.7207995495495496,0.036209127950309075,0.3967995373409117,0.02646852140253189,0.7278712987853934,0.02590672105356582,0.7264653641207814,0.022094564981187097,0.5113945305392605,0.02729908279537229,0.44867084833494286,0.044905149983797486
04 rerun,Distance-based functional,centroid + euclidean,L2-normalised sampled spectra,class centroids,0.5400991201928306,0.04380358926092816,0.7772153519482464,0.025559196620693708,0.7197232947232948,0.03662923229659418,0.3964513552699659,0.02670495160979284,0.7278712006749996,0.02603583298661348,0.7262522202486679,0.02225611387014386,0.5108300900884495,0.02759988243733688,0.44759449539829427,0.0454370534017243
04 rerun,Distance-based functional,centroid + seuclidean,L2-normalised sampled spectra,class centroids,0.5737511381933412,0.04116850328087788,0.7997846451917787,0.02473236138006947,0.7347796010296009,0.0372290348515859,0.4411059873548037,0.028577799646267627,0.768678649216098,0.024406717208010326,0.7619538188277087,0.020621930486711595,0.550739860590054,0.028078621384166513,0.503458250245699,0.04367057761341291
04 rerun,Distance-based functional,weighted kNN + correlation,L2-normalised sampled spectra,k=5,0.5450406332211624,0.04381530477137882,0.7289223763317223,0.024416629378733515,0.48464929214929214,0.06022323486514023,0.5245776092547182,0.06076163484640096,0.8869795734160077,0.04530694659121212,0.8072113676731795,0.03110436409167202,0.4999611150813545,0.04155220166317103,0.37162886556529984,0.050565102920306804
04 rerun,Distance-based functional,weighted kNN + cosine,L2-normalised sampled spectra,k=5,0.7367089521076096,0.04045188684249058,0.8546382717919789,0.024411735236565247,0.6858445945945946,0.042392375988015964,0.7100419644319311,0.04995926233891653,0.9294619626003179,0.018436447728098496,0.8811722912966252,0.014568676679481031,0.6961080832090574,0.031372843877013494,0.6153065571949125,0.04062628771285893
04 rerun,Distance-based functional,weighted kNN + euclidean,L2-normalised sampled spectra,k=5,0.7368097554455211,0.040612532216900775,0.8546217172098081,0.024432045898361763,0.6854874517374517,0.04144566629564494,0.7153534369840271,0.048762467995203576,0.931499126817495,0.016620960340727988,0.8827353463587921,0.014043185922598497,0.6987237832751275,0.03192271611230983,0.6169865785549468,0.041081726885983244
04 rerun,Distance-based functional,weighted kNN + seuclidean,L2-normalised sampled spectra,k=5,0.8083035719895585,0.035406068880147225,0.891047777384789,0.020077442897347045,0.7764993564993565,0.040169726725056594,0.7735543426724187,0.043184396006029926,0.9429271235994742,0.014495686166182953,0.9099467140319716,0.011810625854084773,0.7737684905003854,0.027378325908574485,0.7194264800988307,0.03803466120959129
04 rerun,Functional linear,Functional linear SVM,L2-normalised sampled spectra,inner-CV C | mean best C=3.394,0.8641060290768268,0.028265120550131178,0.9151930463418699,0.0205470899745293,0.8297361647361647,0.03278260770595734,0.7914968192719428,0.03887859510843903,0.9454581755391166,0.012555776062610664,0.9225222024866785,0.012425052482493378,0.8095598598426605,0.028574347423275328,0.7751943402752813,0.03607930485293746
04 rerun,Functional linear,Functional logistic regression (L1),L2-normalised sampled spectra,inner-CV C | mean best C=200.3,0.8535279100765925,0.030216984533600624,0.9111702057560572,0.019936767854703323,0.831534749034749,0.030596439543494548,0.7604051233598578,0.05253934823938146,0.9340739359927791,0.018633593226600124,0.9137477797513321,0.016346860509371116,0.7933608270555006,0.0341098041041063,0.7656086850275281,0.03649433124484168
04 rerun,Functional linear,Functional logistic regression (L2),L2-normalised sampled spectra,inner-CV C | mean best C=0.01812,0.8619768328683325,0.02878531574854347,0.9141103705249507,0.02014811682588564,0.8306402831402832,0.03268398612704161,0.7833328600318628,0.03689031245405089,0.9427988933147577,0.01174424591080363,0.9205683836589698,0.012462047979559443,0.8058199573913771,0.02901483580811053,0.7734391764550409,0.036896691480250626
