split,family,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep0_fold0,Functional linear,Functional logistic regression (L2),0.925377056979456,0.9606154827393766,0.3869346733668342,0.8918918918918919,0.8181818181818182,0.9513274336283186,0.9396092362344582,0.853448275862069,0.8432193255202105,0.005994842503189409,0.9016874336442328,343
rep0_fold0,Functional linear,Functional logistic regression (L1),0.9003098512241943,0.9572271386430679,0.4120603015075377,0.8738738738738738,0.7698412698412699,0.9358407079646017,0.9236234458259325,0.8185654008438819,0.8097145818384757,0.046415888336127774,0.8967749454456169,45
rep0_fold0,Functional linear,Functional linear SVM,0.926215459939628,0.9608745914055649,0.12562814070351758,0.8828828828828829,0.8235294117647058,0.9535398230088495,0.9396092362344582,0.8521739130434782,0.8364227058917324,0.000774263682681127,0.9028433294946414,343
rep0_fold1,Functional linear,Functional logistic regression (L2),0.7986777594856619,0.8706250498285897,0.4120603015075377,0.7747747747747747,0.7678571428571429,0.9424778761061947,0.9094138543516874,0.7713004484304933,0.7172526508809693,0.005994842503189409,0.9256282140399292,343
rep0_fold1,Functional linear,Functional logistic regression (L1),0.8119507565116213,0.8806505620664914,0.4472361809045226,0.7747747747747747,0.7413793103448276,0.9336283185840708,0.9023090586145648,0.7577092511013216,0.7084030933588457,0.3593813663804626,0.921557540608865,92
rep0_fold1,Functional linear,Functional linear SVM,0.8044248341514809,0.8753886629992825,0.1407035175879397,0.7657657657657657,0.7657657657657657,0.9424778761061947,0.9076376554174067,0.7657657657657657,0.7082436418719604,0.000774263682681127,0.9271734431683388,343
rep0_fold2,Functional linear,Functional logistic regression (L2),0.8821758521269785,0.9307491289198605,0.40703517587939697,0.8303571428571429,0.788135593220339,0.9445676274944568,0.9218472468916519,0.808695652173913,0.7749247703515998,0.005994842503189409,0.9137897030007236,343
rep0_fold2,Functional linear,Functional logistic regression (L1),0.8576816065494679,0.918554006968641,0.3869346733668342,0.8571428571428571,0.7272727272727273,0.9201773835920177,0.9076376554174067,0.7868852459016393,0.7773202407348747,0.046415888336127774,0.9124545436185821,40
rep0_fold2,Functional linear,Functional linear SVM,0.8824588636532029,0.932035951853025,0.135678391959799,0.8303571428571429,0.7948717948717948,0.9467849223946785,0.9236234458259325,0.8122270742358079,0.7771420652518213,0.000774263682681127,0.9145152178790606,343
rep0_fold3,Functional linear,Functional logistic regression (L2),0.8719241450847448,0.9213850174216027,0.3768844221105528,0.8571428571428571,0.7868852459016393,0.9423503325942351,0.9253996447602132,0.8205128205128205,0.7994931897370923,0.005994842503189409,0.9141835587931946,343
rep0_fold3,Functional linear,Functional logistic regression (L1),0.8531663246539168,0.9182174532784289,0.45226130653266333,0.8571428571428571,0.75,0.9290465631929047,0.9147424511545293,0.8,0.7861894203357618,0.046415888336127774,0.9126479543856936,41
rep0_fold3,Functional linear,Functional linear SVM,0.8761265064309967,0.921484003801077,0.135678391959799,0.8482142857142857,0.7983193277310925,0.9467849223946785,0.9271758436944938,0.8225108225108225,0.7949992081089641,0.000774263682681127,0.9139021032481838,343
rep0_fold4,Functional linear,Functional logistic regression (L2),0.8402942457944442,0.9002613240418118,0.4170854271356784,0.8303571428571429,0.7815126050420168,0.9423503325942351,0.9200710479573713,0.8051948051948052,0.7727074754513779,0.005994842503189409,0.9200370914970023,343
rep0_fold4,Functional linear,Functional logistic regression (L1),0.8537447969192644,0.9084178017104846,0.457286432160804,0.8392857142857143,0.7899159663865546,0.9445676274944568,0.9236234458259325,0.8138528138528138,0.783853341780171,0.3593813663804626,0.9149679634207872,105
rep0_fold4,Functional linear,Functional linear SVM,0.8430817192911327,0.9019638897687677,0.1658291457286432,0.8303571428571429,0.788135593220339,0.9445676274944568,0.9218472468916519,0.808695652173913,0.7749247703515998,0.000774263682681127,0.9217260735340218,343
rep1_fold0,Functional linear,Functional logistic regression (L2),0.8417046304178853,0.8993063860320498,0.3969849246231156,0.7747747747747747,0.7543859649122807,0.9380530973451328,0.9058614564831261,0.7644444444444445,0.7128278721199075,0.005994842503189409,0.9195897787045972,343
rep1_fold0,Functional linear,Functional logistic regression (L1),0.8472238284821773,0.9054054054054054,0.33668341708542715,0.8108108108108109,0.6818181818181818,0.9070796460176991,0.8880994671403197,0.7407407407407407,0.7178904568285098,0.3593813663804626,0.9136054308845244,107
rep1_fold0,Functional linear,Functional linear SVM,0.8442862583527403,0.9022761699752851,0.12562814070351758,0.7747747747747747,0.7478260869565218,0.9358407079646017,0.9040852575488455,0.7610619469026548,0.7106154827393765,0.000774263682681127,0.9204793177503191,343
rep1_fold1,Functional linear,Functional logistic regression (L2),0.8905954831417953,0.923662600653751,0.5226130653266332,0.8378378378378378,0.808695652173913,0.9513274336283186,0.9289520426287744,0.8230088495575221,0.7891652714661563,0.046415888336127774,0.9141529459366927,343
rep1_fold1,Functional linear,Functional logistic regression (L1),0.8887603615952848,0.9207127481463766,0.4623115577889447,0.8468468468468469,0.7704918032786885,0.9380530973451328,0.9200710479573713,0.8068669527896996,0.7848999441919795,0.3593813663804626,0.9138920532160284,93
rep1_fold1,Functional linear,Functional linear SVM,0.890560951634962,0.9282866937734194,0.1407035175879397,0.8468468468468469,0.7401574803149606,0.9269911504424779,0.911190053285968,0.7899159663865546,0.7738379972893248,0.000774263682681127,0.9148010969667417,343
rep1_fold2,Functional linear,Functional logistic regression (L2),0.8670628974528808,0.9094076655052264,0.40703517587939697,0.8303571428571429,0.8230088495575221,0.9556541019955654,0.9307282415630551,0.8266666666666667,0.7860112448527083,0.005994842503189409,0.9149842639615343,343
rep1_fold2,Functional linear,Functional logistic regression (L1),0.8745422342470296,0.9185540069686412,0.48743718592964824,0.8303571428571429,0.8454545454545455,0.9623059866962306,0.9360568383658969,0.8378378378378378,0.7926631295533735,0.3593813663804626,0.9087084407526053,100
rep1_fold2,Functional linear,Functional linear SVM,0.8686551591708628,0.9114269876464999,0.1407035175879397,0.8303571428571429,0.8230088495575221,0.9556541019955654,0.9307282415630551,0.8266666666666667,0.7860112448527083,0.000774263682681127,0.9158635172005823,343
rep1_fold3,Functional linear,Functional logistic regression (L2),0.8553393896703562,0.9326892619575546,0.4020100502512563,0.8571428571428571,0.7741935483870968,0.9379157427937915,0.9218472468916519,0.8135593220338984,0.7950585999366486,0.005994842503189409,0.9075390021972695,343
rep1_fold3,Functional linear,Functional logistic regression (L1),0.8585451037040213,0.9308085207475452,0.4623115577889447,0.8392857142857143,0.7768595041322314,0.9401330376940134,0.9200710479573713,0.8068669527896996,0.7794187519797275,0.3593813663804626,0.9064584101296222,101
rep1_fold3,Functional linear,Functional linear SVM,0.8596554267208508,0.9262749445676275,0.17587939698492464,0.8303571428571429,0.8157894736842105,0.9534368070953437,0.9289520426287744,0.8230088495575221,0.7837939499524866,166.81005372000558,0.9081636564049914,343
