Representation,J,Classifier,PR-AUC mean ± std,ROC-AUC mean ± std,Sensitivity mean ± std,Precision mean ± std,Specificity mean ± std,Accuracy mean ± std,F1 mean ± std,Youden J mean ± std
FPCA,3,weighted_knn,0.5424 ± 0.0423,0.7975 ± 0.0246,0.7089 ± 0.0581,0.4374 ± 0.0292,0.7727 ± 0.0337,0.7600 ± 0.0221,0.5395 ± 0.0266,0.4816 ± 0.0465
FPCA,5,weighted_knn,0.5583 ± 0.0428,0.7880 ± 0.0244,0.6600 ± 0.0618,0.4469 ± 0.0474,0.7927 ± 0.0510,0.7664 ± 0.0341,0.5297 ± 0.0342,0.4527 ± 0.0479
FPCA,10,weighted_knn,0.5829 ± 0.0446,0.7878 ± 0.0235,0.6104 ± 0.0483,0.5242 ± 0.0420,0.8609 ± 0.0298,0.8113 ± 0.0216,0.5622 ± 0.0329,0.4713 ± 0.0444
FPCA,15,weighted_knn,0.6162 ± 0.0413,0.8033 ± 0.0242,0.6217 ± 0.0601,0.5374 ± 0.0578,0.8629 ± 0.0457,0.8151 ± 0.0307,0.5727 ± 0.0373,0.4846 ± 0.0479
FPLS,1,centroid,0.4851 ± 0.0634,0.6963 ± 0.0559,0.4699 ± 0.0891,0.4432 ± 0.0477,0.8522 ± 0.0388,0.7764 ± 0.0235,0.4521 ± 0.0520,0.3221 ± 0.0697
FPLS,2,centroid,0.6524 ± 0.0453,0.8500 ± 0.0226,0.7228 ± 0.0497,0.4901 ± 0.0632,0.8076 ± 0.0504,0.7908 ± 0.0377,0.5806 ± 0.0435,0.5303 ± 0.0554
FPLS,3,centroid,0.6555 ± 0.0450,0.8514 ± 0.0226,0.7240 ± 0.0505,0.4953 ± 0.0645,0.8109 ± 0.0518,0.7937 ± 0.0386,0.5847 ± 0.0446,0.5350 ± 0.0560
FPLS,5,centroid,0.6567 ± 0.0452,0.8518 ± 0.0226,0.7280 ± 0.0520,0.4917 ± 0.0602,0.8082 ± 0.0482,0.7923 ± 0.0366,0.5839 ± 0.0440,0.5362 ± 0.0585
FPLS,10,centroid,0.6568 ± 0.0452,0.8518 ± 0.0226,0.7276 ± 0.0533,0.4927 ± 0.0608,0.8089 ± 0.0484,0.7928 ± 0.0362,0.5843 ± 0.0430,0.5365 ± 0.0570
FPLS,15,centroid,0.6568 ± 0.0452,0.8518 ± 0.0226,0.7276 ± 0.0533,0.4926 ± 0.0608,0.8088 ± 0.0484,0.7927 ± 0.0362,0.5842 ± 0.0431,0.5364 ± 0.0570
