representation,feature_space,distance,model,accuracy,precision,recall,sensitivity,specificity,f1
Sampled spectra,FPCA (J=20),euclidean,Weighted kNN (k=5),0.817,0.571,0.321,0.321,0.94,0.411
Sampled spectra,FPCA (J=20),manhattan,Centroid,0.336,0.204,0.804,0.804,0.22,0.325
Sampled spectra,FPCA (J=20),manhattan,Medoid,0.574,0.233,0.5,0.5,0.592,0.318
Sampled spectra,FPCA (J=20),manhattan,kNN (k=5),0.847,0.697,0.411,0.411,0.956,0.517
Sampled spectra,FPCA (J=20),manhattan,Weighted kNN (k=5),0.847,0.697,0.411,0.411,0.956,0.517
Sampled spectra,FPCA (J=20),cosine,Centroid,0.307,0.199,0.821,0.821,0.18,0.321
Sampled spectra,FPCA (J=20),cosine,Medoid,0.744,0.369,0.402,0.402,0.829,0.385
Sampled spectra,FPCA (J=20),cosine,kNN (k=5),0.853,0.675,0.5,0.5,0.94,0.574
Sampled spectra,FPCA (J=20),cosine,Weighted kNN (k=5),0.853,0.671,0.509,0.509,0.938,0.579
Sampled spectra,FPCA (J=20),correlation,Centroid,0.307,0.199,0.821,0.821,0.18,0.321
Sampled spectra,FPCA (J=20),correlation,Medoid,0.737,0.359,0.411,0.411,0.818,0.383
Sampled spectra,FPCA (J=20),correlation,kNN (k=5),0.856,0.674,0.536,0.536,0.936,0.597
Sampled spectra,FPCA (J=20),correlation,Weighted kNN (k=5),0.858,0.678,0.545,0.545,0.936,0.604
Sampled spectra,FPCA (J=20),seuclidean,Centroid,0.87,0.735,0.545,0.545,0.951,0.626
Sampled spectra,FPCA (J=20),seuclidean,Medoid,0.703,0.368,0.688,0.688,0.707,0.48
Sampled spectra,FPCA (J=20),seuclidean,kNN (k=5),0.877,0.803,0.509,0.509,0.969,0.623
Sampled spectra,FPCA (J=20),seuclidean,Weighted kNN (k=5),0.877,0.803,0.509,0.509,0.969,0.623
Sampled spectra,FPCA (J=20),mahalanobis,Centroid,0.334,0.203,0.804,0.804,0.217,0.324
Sampled spectra,FPCA (J=20),mahalanobis,Medoid,0.561,0.229,0.509,0.509,0.574,0.316
Sampled spectra,FPCA (J=20),mahalanobis,kNN (k=5),0.817,0.563,0.357,0.357,0.931,0.437
Sampled spectra,FPCA (J=20),mahalanobis,Weighted kNN (k=5),0.819,0.569,0.366,0.366,0.931,0.446
Sampled spectra,FPCA (J=30),euclidean,Centroid,0.334,0.203,0.804,0.804,0.217,0.324
Sampled spectra,FPCA (J=30),euclidean,Medoid,0.554,0.225,0.509,0.509,0.565,0.312
Sampled spectra,FPCA (J=30),euclidean,kNN (k=5),0.815,0.567,0.304,0.304,0.942,0.395
Sampled spectra,FPCA (J=30),euclidean,Weighted kNN (k=5),0.815,0.565,0.312,0.312,0.94,0.402
Sampled spectra,FPCA (J=30),manhattan,Centroid,0.336,0.204,0.804,0.804,0.22,0.325
Sampled spectra,FPCA (J=30),manhattan,Medoid,0.568,0.233,0.509,0.509,0.583,0.319
Sampled spectra,FPCA (J=30),manhattan,kNN (k=5),0.854,0.75,0.402,0.402,0.967,0.523
Sampled spectra,FPCA (J=30),manhattan,Weighted kNN (k=5),0.854,0.75,0.402,0.402,0.967,0.523
Sampled spectra,FPCA (J=30),cosine,Centroid,0.307,0.199,0.821,0.821,0.18,0.321
Sampled spectra,FPCA (J=30),cosine,Medoid,0.744,0.369,0.402,0.402,0.829,0.385
Sampled spectra,FPCA (J=30),cosine,kNN (k=5),0.847,0.659,0.482,0.482,0.938,0.557
Sampled spectra,FPCA (J=30),cosine,Weighted kNN (k=5),0.847,0.659,0.482,0.482,0.938,0.557
Sampled spectra,FPCA (J=30),correlation,Centroid,0.307,0.199,0.821,0.821,0.18,0.321
Sampled spectra,FPCA (J=30),correlation,Medoid,0.741,0.365,0.411,0.411,0.823,0.387
Sampled spectra,FPCA (J=30),correlation,kNN (k=5),0.854,0.683,0.5,0.5,0.942,0.577
Sampled spectra,FPCA (J=30),correlation,Weighted kNN (k=5),0.854,0.683,0.5,0.5,0.942,0.577
Sampled spectra,FPCA (J=30),seuclidean,Centroid,0.883,0.78,0.571,0.571,0.96,0.66
Sampled spectra,FPCA (J=30),seuclidean,Medoid,0.673,0.35,0.75,0.75,0.654,0.477
Sampled spectra,FPCA (J=30),seuclidean,kNN (k=5),0.865,0.743,0.491,0.491,0.958,0.591
Sampled spectra,FPCA (J=30),seuclidean,Weighted kNN (k=5),0.865,0.743,0.491,0.491,0.958,0.591
Sampled spectra,FPCA (J=30),mahalanobis,Centroid,0.334,0.203,0.804,0.804,0.217,0.324
Sampled spectra,FPCA (J=30),mahalanobis,Medoid,0.561,0.229,0.509,0.509,0.574,0.316
Sampled spectra,FPCA (J=30),mahalanobis,kNN (k=5),0.815,0.559,0.339,0.339,0.933,0.422
Sampled spectra,FPCA (J=30),mahalanobis,Weighted kNN (k=5),0.817,0.565,0.348,0.348,0.933,0.431
