Family,Method,Representation,Tuning,PR-AUC mean ± std,ROC-AUC mean ± std,F1 mean ± std
Distance-based functional,weighted kNN + seuclidean,L2-normalised sampled spectra,k=5,0.8083 ± 0.0354,0.8910 ± 0.0201,0.7738 ± 0.0274
Functional linear,Functional linear SVM,L2-normalised sampled spectra,inner-CV C | mean best C=3.394,0.8641 ± 0.0283,0.9152 ± 0.0205,0.8096 ± 0.0286
