family,model_name,distance,method,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
Distance-based functional,centroid,correlation,centroid + correlation,0.3727175769936261,0.04444061027970177,0.677382422395373,0.031217700959840597,0.7093339768339768,0.04640606126430227,0.2779792367366487,0.01645966652471478,0.542850793713086,0.04161185553887379,0.5758436944937833,0.029475685772071433,0.39891170288223526,0.019378794584588303,0.2521847705470628,0.04245047287731296,0.3991959798994975,0.03039181654920636
Distance-based functional,centroid,cosine,centroid + cosine,0.5393035292905752,0.043800514279601625,0.7770231830441198,0.025532246761883686,0.7207995495495496,0.036209127950309075,0.3967995373409117,0.02646852140253189,0.7278712987853934,0.02590672105356582,0.7264653641207814,0.022094564981187097,0.5113945305392605,0.02729908279537229,0.44867084833494286,0.044905149983797486,0.31085427135678395,0.007597954137301584
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5400991201928306,0.04380358926092816,0.7772153519482464,0.025559196620693708,0.7197232947232948,0.03662923229659418,0.3964513552699659,0.02670495160979284,0.7278712006749996,0.02603583298661348,0.7262522202486679,0.02225611387014386,0.5108300900884495,0.02759988243733688,0.44759449539829427,0.0454370534017243,0.354070351758794,0.013206170322184383
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5737511381933412,0.04116850328087788,0.7997846451917787,0.02473236138006947,0.7347796010296009,0.0372290348515859,0.4411059873548037,0.028577799646267627,0.768678649216098,0.024406717208010326,0.7619538188277087,0.020621930486711595,0.550739860590054,0.028078621384166513,0.503458250245699,0.04367057761341291,0.3371859296482412,0.008688957959016655
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5450406332211624,0.04381530477137882,0.7289223763317223,0.024416629378733515,0.48464929214929214,0.06022323486514023,0.5245776092547182,0.06076163484640096,0.8869795734160077,0.04530694659121212,0.8072113676731795,0.03110436409167202,0.4999611150813545,0.04155220166317103,0.37162886556529984,0.050565102920306804,0.25185929648241207,0.0440969345879323
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7367089521076096,0.04045188684249058,0.8546382717919789,0.024411735236565247,0.6858445945945946,0.042392375988015964,0.7100419644319311,0.04995926233891653,0.9294619626003179,0.018436447728098496,0.8811722912966252,0.014568676679481031,0.6961080832090574,0.031372843877013494,0.6153065571949125,0.04062628771285893,0.31336683417085426,0.05986200207271319
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7368097554455211,0.040612532216900775,0.8546217172098081,0.024432045898361763,0.6854874517374517,0.04144566629564494,0.7153534369840271,0.048762467995203576,0.931499126817495,0.016620960340727988,0.8827353463587921,0.014043185922598497,0.6987237832751275,0.03192271611230983,0.6169865785549468,0.041081726885983244,0.3058291457286432,0.0750446305978274
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8083035719895585,0.035406068880147225,0.891047777384789,0.020077442897347045,0.7764993564993565,0.040169726725056594,0.7735543426724187,0.043184396006029926,0.9429271235994742,0.014495686166182953,0.9099467140319716,0.011810625854084773,0.7737684905003854,0.027378325908574485,0.7194264800988307,0.03803466120959129,0.2821105527638191,0.07627070639223414
