method_family,J,classifier,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
FPCA,1,centroid,0.2881612438033087,0.024484377999069794,0.6310178848240039,0.022672045369448043,0.8291940154440154,0.02774069374784517,0.2559646406675707,0.009483254899250244,0.40368237741106294,0.022007537363481048,0.4880284191829485,0.018179597921968407,0.3911128252815732,0.013239810610120221,0.23287639285507836,0.03411655478073913,0.010050251256281405,0.0
FPCA,1,knn,0.23112431700507696,0.015150588936035405,0.5641393859478794,0.025526193117230717,0.46369530244530244,0.17846490212158328,0.24432674738569987,0.025911984476060662,0.6321445950984047,0.17290873542801327,0.598721136767318,0.10452280182414254,0.30744516914532377,0.033357625591517566,0.09583989754370718,0.04121298600850568,0.13738693467336685,0.09669545625457528
FPCA,1,linear_svm,0.2881612438033087,0.024484377999069794,0.6310178848240039,0.022672045369448043,0.8291940154440154,0.02774069374784517,0.2559646406675707,0.009483254899250244,0.40368237741106294,0.022007537363481048,0.4880284191829485,0.018179597921968407,0.3911128252815732,0.013239810610120221,0.23287639285507836,0.03411655478073913,0.010050251256281405,0.0
FPCA,1,lr,0.2881612438033087,0.024484377999069794,0.6310178848240039,0.022672045369448043,0.8291940154440154,0.02774069374784517,0.2559646406675707,0.009483254899250244,0.40368237741106294,0.022007537363481048,0.4880284191829485,0.018179597921968407,0.3911128252815732,0.013239810610120221,0.23287639285507836,0.03411655478073913,0.010050251256281405,0.0
FPCA,1,weighted_knn,0.24298265255452836,0.020745902703423823,0.5544869353888887,0.02374667964016687,0.5928346203346203,0.14545053501415195,0.22210226056655982,0.018974061495959448,0.480687753860644,0.1321808611766406,0.5029129662522203,0.0793699798983279,0.31657407852379266,0.03242424468210378,0.07352237419526433,0.048537846850819764,0.08,0.10872355101064211
FPCA,2,centroid,0.29550734628316766,0.025516194632649238,0.6419082077324576,0.024173206031577837,0.8487419562419563,0.033270359058781514,0.2538623093788036,0.008028662976129787,0.38290495065047186,0.026693889447385728,0.4752397868561279,0.018890322126277226,0.39072104872618113,0.011363098220643918,0.23164690689242814,0.02961021563976731,0.08030150753768844,0.009441626798327194
FPCA,2,knn,0.2970387245742179,0.020524483373339817,0.6636276645305622,0.02406866986893612,0.7160826898326899,0.12205914888471835,0.2817780530113609,0.025608595981678656,0.5383591036634421,0.10653431967093473,0.5736056838365897,0.06290404993233328,0.39862081495734386,0.019351993434941088,0.25444179349613194,0.0393109144087442,0.0363819095477387,0.07257685204247137
FPCA,2,linear_svm,0.41062827366538485,0.03774982927829037,0.7429214300083608,0.023539942751029313,0.6258413770913771,0.05117955269238613,0.37700626619909244,0.03351557212006062,0.741261405333281,0.04238677129441761,0.7183658969804618,0.03005573502950572,0.46903434577559117,0.02987871053448987,0.3671027824246581,0.04681846408446417,0.37618090452261305,0.020806244453054422
FPCA,2,lr,0.4054648164249002,0.03756372649549648,0.7383917754347281,0.02389806354698643,0.6770752895752896,0.05016488282262306,0.3488919913347885,0.02433180771979902,0.6857830190530385,0.03599883202298614,0.6840497335701599,0.025567999352915358,0.4595730919171902,0.025262149930646613,0.36285830862832813,0.04544341971372201,0.38713567839195984,0.020605891377575323
FPCA,2,weighted_knn,0.31039875771393954,0.026328595912090753,0.6619451875538644,0.023463845769383956,0.7053700128700129,0.06768031156134299,0.28166724006996446,0.013443340832033936,0.5540502913878697,0.04972014326881082,0.5840497335701599,0.030003269632347333,0.4016676590378415,0.01809080716500634,0.2594203042578825,0.03968200472094254,0.10814070351758794,0.048828595010573836
FPCA,3,centroid,0.29983005362876003,0.026260924336414408,0.6494686426933352,0.023895186510740945,0.8659346846846847,0.03111835856580974,0.259973784229427,0.009314200903442642,0.39025646056943275,0.022187664048643415,0.4845470692717584,0.01795666684897653,0.3998252637980661,0.013380662184932625,0.2561911452541174,0.03521724451991669,0.07366834170854272,0.007638541787926001
FPCA,3,knn,0.5042484707977283,0.039325488547406286,0.7927670763792068,0.024230637135563747,0.6809990347490347,0.1159319856422985,0.4532329662581248,0.07743827367822578,0.7745638992994919,0.11259241211792209,0.7560923623445827,0.0693729399639811,0.5309619987481363,0.037829209424863355,0.45556293404852655,0.04264197887967775,0.13437185929648243,0.09377993320220028
