family,method,tuning,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
Robust depth,Random projection depth,n_dirs=50,0.2895079762883551,0.028584392433183618,0.6022734148977943,0.02537634701697923,0.5709572072072072,0.04110719022626458,0.2603009113646598,0.016499514729235876,0.5981008771069207,0.029700085368746427,0.5927175843694493,0.022283897577074732,0.35726137102727906,0.020858504714325907,0.16905808431412792,0.041398080329727006,0.5461306532663317,0.02825255763489372
Robust depth,Fraiman-Muniz depth,grid=30,0.27125162830941213,0.031507138494818974,0.5591633814836923,0.02800199574290726,0.4977107464607464,0.14007473521369962,0.250307936831027,0.06215086500728106,0.5973530796852619,0.13116192323954476,0.5775843694493783,0.07992991062043256,0.3108800692990839,0.04392158028891841,0.0950638261460083,0.051187777961409366,0.5482412060301507,0.10803602723202306
Robust depth,h-mode depth,bw_mult=0.5,0.20169089596693301,0.004471072992283577,0.5075109531668457,0.012615846704996632,0.9099324324324324,0.27173073337572107,0.18496839284224037,0.055239587392403415,0.10493250004905519,0.2669299001049336,0.2644760213143872,0.16032131973420252,0.3073908725798722,0.09170474062157052,0.014864932481487625,0.023747246009097365,0.6844221105527639,0.12287622794268577
Robust depth,h-mode depth,bw_mult=1.0,0.20169089596693301,0.004471072992283577,0.5075109531668457,0.012615846704996632,0.9099324324324324,0.27173073337572107,0.18496839284224037,0.055239587392403415,0.10493250004905519,0.2669299001049336,0.2644760213143872,0.16032131973420252,0.3073908725798722,0.09170474062157052,0.014864932481487625,0.023747246009097365,0.6844221105527639,0.12287622794268577
Robust depth,h-mode depth,bw_mult=2.0,0.20169089596693301,0.004471072992283577,0.5075109531668457,0.012615846704996632,0.9099324324324324,0.27173073337572107,0.18496839284224037,0.055239587392403415,0.10493250004905519,0.2669299001049336,0.2644760213143872,0.16032131973420252,0.3073908725798722,0.09170474062157052,0.014864932481487625,0.023747246009097365,0.6844221105527639,0.12287622794268577
RKHS,Kernel Fisher,"poly_{'degree': 2, 'gamma': 0.01, 'coef0': 1.0}",0.19822380106571935,0.0008789905138639276,0.5,0.0,1.0,0.0,0.19822380106571935,0.0008789905138639276,0.0,0.0,0.19822380106571935,0.0008789905138639276,0.33086185295087367,0.0012248059970939036,0.0,0.0,0.002814070351758794,0.002519731338806066
RKHS,Kernel Fisher,rbf_{'gamma': 0.01},0.19822380106571935,0.0008789905138639276,0.5,0.0,1.0,0.0,0.19822380106571935,0.0008789905138639276,0.0,0.0,0.19822380106571935,0.0008789905138639276,0.33086185295087367,0.0012248059970939036,0.0,0.0,0.002814070351758794,0.002519731338806066
RKHS,Kernel Fisher,rbf_{'gamma': 0.05},0.19822380106571935,0.0008789905138639276,0.5,0.0,1.0,0.0,0.19822380106571935,0.0008789905138639276,0.0,0.0,0.19822380106571935,0.0008789905138639276,0.33086185295087367,0.0012248059970939036,0.0,0.0,0.002814070351758794,0.002519731338806066
RKHS,Kernel Fisher,rbf_{'gamma': 0.1},0.19822380106571935,0.0008789905138639276,0.5,0.0,1.0,0.0,0.19822380106571935,0.0008789905138639276,0.0,0.0,0.19822380106571935,0.0008789905138639276,0.33086185295087367,0.0012248059970939036,0.0,0.0,0.002814070351758794,0.002519731338806066
