Family,Method,Tuning,PR-AUC mean ± std,ROC-AUC mean ± std,F1 mean ± std
RKHS,Kernel Fisher,"poly_{'degree': 2, 'gamma': 0.01, 'coef0': 1.0}",0.1982 ± 0.0009,0.5000 ± 0.0000,0.3309 ± 0.0012
Robust depth,Random projection depth,n_dirs=50,0.2895 ± 0.0286,0.6023 ± 0.0254,0.3573 ± 0.0209
