wavelength,beta_svm,abs_beta_svm
1020.0,0.049464891054309776,0.049464891054309776
972.0,0.0475793520023779,0.0475793520023779
998.0,0.04752431301345261,0.04752431301345261
1000.0,0.047249091346525364,0.047249091346525364
974.0,0.04686174166806129,0.04686174166806129
970.0,0.046790220448667416,0.046790220448667416
996.0,0.046757731084353306,0.046757731084353306
1002.0,0.045361809111006145,0.045361809111006145
994.0,0.04529868934255389,0.04529868934255389
976.0,0.04479740764723481,0.04479740764723481
968.0,0.04469931477565412,0.04469931477565412
992.0,0.043327486175908696,0.043327486175908696
940.0,0.04270672385033507,0.04270672385033507
938.0,0.04267785575886553,0.04267785575886553
978.0,0.041969873948671556,0.041969873948671556
