wavelength,beta_logreg,beta_svm,abs_beta_logreg,abs_beta_svm
336.0,-0.020441616187696774,-0.009069920547488935,0.020441616187696774,0.009069920547488935
338.0,0.038336345242711255,0.015434181755408987,0.038336345242711255,0.015434181755408987
340.0,0.0452317473261407,0.018243000198025494,0.0452317473261407,0.018243000198025494
342.0,0.022516293661592503,0.00952473649276635,0.022516293661592503,0.00952473649276635
344.0,0.01194896944934803,0.004631688924125814,0.01194896944934803,0.004631688924125814
346.0,0.025546374346984813,0.008805902910441312,0.025546374346984813,0.008805902910441312
348.0,0.03619866856702504,0.013020588410187132,0.03619866856702504,0.013020588410187132
350.0,0.029772478624733145,0.011680869829688722,0.029772478624733145,0.011680869829688722
352.0,0.029452902642722822,0.012500039937108869,0.029452902642722822,0.012500039937108869
354.0,0.04531091156493749,0.019346137960948553,0.04531091156493749,0.019346137960948553
356.0,0.04190905652440002,0.019266764577241965,0.04190905652440002,0.019266764577241965
358.0,0.015757203465120953,0.010148375780731406,0.015757203465120953,0.010148375780731406
360.0,0.010833559762202653,0.008042444952008808,0.010833559762202653,0.008042444952008808
362.0,0.045204675171253435,0.020698743760573284,0.045204675171253435,0.020698743760573284
364.0,0.08059460239150056,0.034487921226116214,0.08059460239150056,0.034487921226116214
366.0,0.06800577674127227,0.030217659468911893,0.06800577674127227,0.030217659468911893
368.0,0.009197073200640884,0.007033223436454423,0.009197073200640884,0.007033223436454423
370.0,-0.04088800128479765,-0.014492033436242712,0.04088800128479765,0.014492033436242712
372.0,-0.03989727072161163,-0.01604136667125095,0.03989727072161163,0.01604136667125095
374.0,-0.011118597909899797,-0.00492826148668343,0.011118597909899797,0.00492826148668343
376.0,0.0024518459974509884,0.0016382895588009446,0.0024518459974509884,0.0016382895588009446
378.0,-0.00774571694426867,-0.0012697579694895462,0.00774571694426867,0.0012697579694895462
380.0,-0.015916312917072517,-0.004719775974779001,0.015916312917072517,0.004719775974779001
382.0,-0.0024209944154022266,-0.00010413188353311837,0.0024209944154022266,0.00010413188353311837
384.0,0.015883640260466708,0.0070879874287407205,0.015883640260466708,0.0070879874287407205
386.0,0.015698653199793865,0.00745620956268044,0.015698653199793865,0.00745620956268044
388.0,0.004474893160195277,0.0032515091723676315,0.004474893160195277,0.0032515091723676315
390.0,0.001956483012891476,0.0021282565870454294,0.001956483012891476,0.0021282565870454294
392.0,0.01607082545796298,0.00788184609387878,0.01607082545796298,0.00788184609387878
394.0,0.03724728984040214,0.01682517307495242,0.03724728984040214,0.01682517307495242
396.0,0.053677624980686546,0.023465204327458668,0.053677624980686546,0.023465204327458668
398.0,0.06579870815057529,0.027337207128342204,0.06579870815057529,0.027337207128342204
400.0,0.07377950446763427,0.028761492334316144,0.07377950446763427,0.028761492334316144
402.0,0.07845185037680748,0.02925222463312562,0.07845185037680748,0.02925222463312562
404.0,0.08395464064388629,0.030726202725440164,0.08395464064388629,0.030726202725440164
406.0,0.08559225029675528,0.03099377883133709,0.08559225029675528,0.03099377883133709
408.0,0.07241466127040218,0.025393386702430205,0.07241466127040218,0.025393386702430205
410.0,0.043214230162082735,0.013181336563783652,0.043214230162082735,0.013181336563783652
412.0,0.018295586636006785,0.00262440377626781,0.018295586636006785,0.00262440377626781
414.0,0.017036445550206374,0.002302150561029535,0.017036445550206374,0.002302150561029535
416.0,0.034494444000769967,0.010613198576422398,0.034494444000769967,0.010613198576422398
418.0,0.053966699032684494,0.020181991230302558,0.053966699032684494,0.020181991230302558
