source_id,idx,flux,flux_error,wavelength
2117325697617090304,0,5.0662837e-17,7.9531455e-18,
2117325697617090304,1,3.7895407e-17,5.733751e-18,
2117325697617090304,2,3.173021e-17,4.6833436e-18,
2117325697617090304,3,3.2821825e-17,4.0482054e-18,
2117325697617090304,4,3.5585647e-17,3.7957168e-18,
2117325697617090304,5,3.370434e-17,3.7084405e-18,
2117325697617090304,6,2.9095863e-17,3.892777e-18,
2117325697617090304,7,3.0386506e-17,4.1339364e-18,
2117325697617090304,8,4.1967276e-17,4.576775e-18,
2117325697617090304,9,5.1908843e-17,4.8752855e-18,
2117325697617090304,10,4.3673465e-17,4.665898e-18,
2117325697617090304,11,2.7730001e-17,4.184608e-18,
2117325697617090304,12,2.244387e-17,3.77489e-18,
2117325697617090304,13,2.9153752e-17,3.8794676e-18,
2117325697617090304,14,3.9325275e-17,3.6772174e-18,
2117325697617090304,15,4.460321e-17,4.1693336e-18,
2117325697617090304,16,4.311961e-17,4.085088e-18,
2117325697617090304,17,3.8235755e-17,4.591016e-18,
2117325697617090304,18,3.4084033e-17,4.6223605e-18,
2117325697617090304,19,3.1885692e-17,4.8039143e-18,
2117325697617090304,20,3.0758896e-17,5.440604e-18,
2117325697617090304,21,2.975464e-17,5.0357056e-18,
2117325697617090304,22,2.7056137e-17,6.014525e-18,
2117325697617090304,23,2.2299151e-17,5.525067e-18,
2117325697617090304,24,1.874616e-17,5.297951e-18,
2117325697617090304,25,1.9793463e-17,5.5342945e-18,
2117325697617090304,26,2.4381812e-17,4.2236756e-18,
2117325697617090304,27,2.8125153e-17,4.3413483e-18,
2117325697617090304,28,2.893851e-17,3.958472e-18,
2117325697617090304,29,2.8885984e-17,3.0528288e-18,
2117325697617090304,30,3.1831525e-17,3.3847712e-18,
2117325697617090304,31,3.946723e-17,3.0396145e-18,
2117325697617090304,32,4.96776e-17,2.5257948e-18,
2117325697617090304,33,5.865813e-17,2.9219084e-18,
2117325697617090304,34,6.330443e-17,2.6929917e-18,
2117325697617090304,35,6.4064066e-17,2.2704836e-18,
2117325697617090304,36,6.359379e-17,2.6443949e-18,
2117325697617090304,37,6.427031e-17,2.5955391e-18,
2117325697617090304,38,6.635847e-17,2.1607364e-18,
2117325697617090304,39,6.839457e-17,2.418141e-18,
2117325697617090304,40,6.80291e-17,2.584236e-18,
2117325697617090304,41,6.47405e-17,2.1971034e-18,
2117325697617090304,42,6.003624e-17,2.188465e-18,
2117325697617090304,43,5.6433464e-17,2.52746e-18,
2117325697617090304,44,5.579348e-17,2.3695716e-18,
2117325697617090304,45,5.8252865e-17,2.060108e-18,
2117325697617090304,46,6.204695e-17,2.2825433e-18,
2117325697617090304,47,6.5319674e-17,2.4759009e-18,
2117325697617090304,48,6.6924914e-17,2.234016e-18,
2117325697617090304,49,6.7120704e-17,2.052384e-18,
2117325697617090304,50,6.7398795e-17,2.2713447e-18,
2117325697617090304,51,6.926e-17,2.3865722e-18,
2117325697617090304,52,7.3027204e-17,2.1869793e-18,
2117325697617090304,53,7.824374e-17,2.0493594e-18,
2117325697617090304,54,8.3741244e-17,2.1928498e-18,
2117325697617090304,55,8.8418745e-17,2.2898802e-18,
2117325697617090304,56,9.169169e-17,2.1623395e-18,
2117325697617090304,57,9.3629354e-17,2.0191317e-18,
2117325697617090304,58,9.486237e-17,2.069371e-18,
2117325697617090304,59,9.60182e-17,2.1661596e-18,
2117325697617090304,60,9.731461e-17,2.1194353e-18,
2117325697617090304,61,9.881313e-17,1.9849375e-18,
2117325697617090304,62,9.996789e-17,1.9306176e-18,
2117325697617090304,63,1.0055911e-16,1.9816042e-18,
2117325697617090304,64,1.00463904e-16,2.0057184e-18,
2117325697617090304,65,9.972299e-17,1.9353816e-18,
2117325697617090304,66,9.911033e-17,1.8431015e-18,
2117325697617090304,67,9.871392e-17,1.8087725e-18,
